Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
A.  Quiñonez Cortez,Aucas,Stiven Quiñónez Cortes,No team,https://api.sofascore.com/api/v1/player/830154/image,https://api.sofascore.com/api/v1/team/241802/image,,,,0.31,BAIXA_REVISAR
A. Aedo,Boyacá Chicó,Andres Aedo,Boyacá Chicó FC,https://api.sofascore.com/api/v1/player/1427849/image,https://api.sofascore.com/api/v1/team/6107/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Aguirre,Agropecuario,Alan Aguirre,Agropecuario Argentino,https://api.sofascore.com/api/v1/player/257455/image,https://api.sofascore.com/api/v1/team/265787/image,Primera Nacional,Argentina,https://api.sofascore.com/api/v1/unique-tournament/703/image,0.85,ALTA
A. Aguirre,Deportes Limache,Augusto Aguirre,Deportes Limache,https://api.sofascore.com/api/v1/player/875564/image,https://api.sofascore.com/api/v1/team/331131/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Alaniz,Banfield,Martín Alaníz,ADC Juan Pablo II,https://api.sofascore.com/api/v1/player/339123/image,https://api.sofascore.com/api/v1/team/511206/image,Liga 1,Peru,https://api.sofascore.com/api/v1/unique-tournament/406/image,0.34,BAIXA_REVISAR
A. Alarcón,Dynamo Makhachkala,Andrés Alarcón,Dinamo Makhachkala,https://api.sofascore.com/api/v1/player/1179168/image,https://api.sofascore.com/api/v1/team/362016/image,Russian Premier League,Russia,https://api.sofascore.com/api/v1/unique-tournament/203/image,0.54,MEDIA
A. Albarracín,Boston River,Agustín Albarracín,Cagliari,https://api.sofascore.com/api/v1/player/1464187/image,https://api.sofascore.com/api/v1/team/2719/image,Serie A,Italy,https://api.sofascore.com/api/v1/unique-tournament/23/image,0.34,BAIXA_REVISAR
A. Alonso,Deportivo Riestra,Antony Alonso,Deportivo Riestra,https://api.sofascore.com/api/v1/player/1094187/image,https://api.sofascore.com/api/v1/team/189723/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Alvarado,LDU Quito,Alexander Alvarado,LDU,https://api.sofascore.com/api/v1/player/826826/image,https://api.sofascore.com/api/v1/team/5257/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.85,ALTA
A. Álvarez,Delfin,Anthony Alvarez,Delfín,https://api.sofascore.com/api/v1/player/1473021/image,https://api.sofascore.com/api/v1/team/213638/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.94,ALTA
A. Álvarez,Unión La Calera,Marcos Alvarez,Unión La Calera,https://api.sofascore.com/api/v1/player/2456452/image,https://api.sofascore.com/api/v1/team/48242/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Amado,Boston River,Agustín Amado,Boston River,https://api.sofascore.com/api/v1/player/1127372/image,https://api.sofascore.com/api/v1/team/174970/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Amaya,Fortaleza,Andrés Amaya,Fortaleza FC,https://api.sofascore.com/api/v1/player/876723/image,https://api.sofascore.com/api/v1/team/89368/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Anello,Boston River,Agustin Anello,Philadelphia Union,https://api.sofascore.com/api/v1/player/1101444/image,https://api.sofascore.com/api/v1/team/39833/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.34,BAIXA_REVISAR
A. Angulo,Tolima,Anderson Angulo,Deportes Tolima,https://api.sofascore.com/api/v1/player/925127/image,https://api.sofascore.com/api/v1/team/6111/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
Á. Angulo,Pumas UNAM,Álvaro Angulo,Pumas UNAM,https://api.sofascore.com/api/v1/player/824511/image,https://api.sofascore.com/api/v1/team/1933/image,"Liga MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11620/image,0.94,ALTA
A. Arce,Independiente Rivadavia,Alex Arce,Independiente Rivadavia,https://api.sofascore.com/api/v1/player/1167312/image,https://api.sofascore.com/api/v1/team/36842/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Arroyo,Fortaleza,Andrés Arroyo,Fortaleza FC,https://api.sofascore.com/api/v1/player/978706/image,https://api.sofascore.com/api/v1/team/89368/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Assis,Cerro Largo,Sebastián Assis,Cerro Largo,https://api.sofascore.com/api/v1/player/976167/image,https://api.sofascore.com/api/v1/team/25009/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Astudillo,Cobresal,Aaron Astudillo,Cobresal,https://api.sofascore.com/api/v1/player/1016643/image,https://api.sofascore.com/api/v1/team/3167/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Auzmendi,Gimnasia La Plata,Agustín Auzmendi,Gimnasia y Esgrima,https://api.sofascore.com/api/v1/player/1173824/image,https://api.sofascore.com/api/v1/team/3205/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.49,BAIXA_REVISAR
A. Azócar,Coquimbo Unido,Alejandro Azócar,Coquimbo Unido,https://api.sofascore.com/api/v1/player/1108027/image,https://api.sofascore.com/api/v1/team/3165/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Balboa,Racing Club,Adrián Balboa,Pari Nizhny Novgorod,https://api.sofascore.com/api/v1/player/368422/image,https://api.sofascore.com/api/v1/team/201654/image,Russian Premier League,Russia,https://api.sofascore.com/api/v1/unique-tournament/203/image,0.34,BAIXA_REVISAR
A. Banguero,Boyacá Chicó,Arlen Banguero,Boyacá Chicó FC,https://api.sofascore.com/api/v1/player/2035889/image,https://api.sofascore.com/api/v1/team/6107/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Barco,Rijeka,Alfonso Barco,HNK Rijeka,https://api.sofascore.com/api/v1/player/975958/image,https://api.sofascore.com/api/v1/team/2039/image,HNL,Croatia,https://api.sofascore.com/api/v1/unique-tournament/170/image,0.85,ALTA
A. Bareiro,Fortaleza,Adam Bareiro,Boca Juniors,https://api.sofascore.com/api/v1/player/871580/image,https://api.sofascore.com/api/v1/team/3202/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.34,BAIXA_REVISAR
Á. Barreal,Santos,Álvaro Barreal,Santos,https://api.sofascore.com/api/v1/player/949687/image,https://api.sofascore.com/api/v1/team/1968/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Barrionuevo,Tigre,Alan Barrionuevo,Tigre,https://api.sofascore.com/api/v1/player/1110289/image,https://api.sofascore.com/api/v1/team/7628/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Bedoya,Delfin,Anthony Bedoya Caicedo,Delfín,https://api.sofascore.com/api/v1/player/590164/image,https://api.sofascore.com/api/v1/team/213638/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.92,ALTA
A. Benítez,Internacional,Bruna Benites,Internacional,https://api.sofascore.com/api/v1/player/244553/image,https://api.sofascore.com/api/v1/team/311632/image,"Brasileirão Série A1, Feminino ",Brazil,https://api.sofascore.com/api/v1/unique-tournament/10257/image,0.6,MEDIA
A. Bouzat,Vélez Sarsfield,Agustín Bouzat,Houston Dynamo,https://api.sofascore.com/api/v1/player/830699/image,https://api.sofascore.com/api/v1/team/2508/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.34,BAIXA_REVISAR
A. Cabeza,Municipal,Alejandro Cabeza,CSD Municipal,https://api.sofascore.com/api/v1/player/868742/image,https://api.sofascore.com/api/v1/team/7025/image,"Liga Nacional de Fútbol de Guatemala, Clausura",Guatemala,https://api.sofascore.com/api/v1/unique-tournament/11615/image,0.85,ALTA
A. Camargo,Coquimbo Unido,Alejandro Camargo,Coquimbo Unido,https://api.sofascore.com/api/v1/player/805408/image,https://api.sofascore.com/api/v1/team/3165/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Cambón,Defensor Sporting,Augusto Cambón,Cerro,https://api.sofascore.com/api/v1/player/1469913/image,https://api.sofascore.com/api/v1/team/22011/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.34,BAIXA_REVISAR
A. Canales,Universidad Católica,Alfred Canales,Universidad Católica,https://api.sofascore.com/api/v1/player/1016766/image,https://api.sofascore.com/api/v1/team/3151/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Canelo,Lanús,Alexis Canelo,Club Puebla,https://api.sofascore.com/api/v1/player/789663/image,https://api.sofascore.com/api/v1/team/1941/image,"Liga MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11620/image,0.34,BAIXA_REVISAR
A. Canobbio,Fluminense,Agustín Canobbio,Fluminense,https://api.sofascore.com/api/v1/player/846413/image,https://api.sofascore.com/api/v1/team/1961/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
